Country,Code,Time,GINI,GINIt-1,GINIt-2,Credit_GDP,FDI_GDP,GDP_growth,Inflation,UMP
France,FRA,2006,29.7,29.8,30.6,126.667771,3.395496784,2.3749469,2.161198098,0
France,FRA,2007,32.4,29.7,29.8,137.2772361,3.145979067,2.361498873,2.563906343,0
France,FRA,2008,33.0,32.4,29.7,142.9900043,2.325978916,0.195294766,2.379119109,0
France,FRA,2009,..,33.0,32.4,140.3819049,0.682307836,-2.941341055,0.096624424,1
France,FRA,2010,33.7,..,33.0,143.6183782,1.469675805,1.965657375,1.079825499,1
France,FRA,2011,33.3,33.7,..,145.8143219,1.54371916,2.079229175,0.943611724,1
France,FRA,2012,33.0,33.3,33.7,147.80637,1.228845226,0.182693034,1.157648915,1
France,FRA,2013,32.5,33.0,33.3,143.9449882,1.124768867,0.576241547,0.776636468,1
France,FRA,2014,32.3,32.5,33.0,146.9209246,0.20389463,0.947586471,0.576458624,1
France,FRA,2015,29.5,32.3,32.5,147.6959024,1.804898041,1.067461648,1.09231639,1
Germany,DEU,2006,31.8,..,..,127.3617048,2.912349683,3.700159572,0.304045355,0
Germany,DEU,2007,31.9,31.8,..,120.4801391,1.478073761,3.260535297,1.697387271,0
Germany,DEU,2008,31.1,31.9,31.8,122.2828234,0.824174902,1.082315404,0.838791683,0
Germany,DEU,2009,31.2,31.1,31.9,128.4509893,1.657945651,-5.618860435,1.7569942,1
Germany,DEU,2010,30.7,31.2,31.1,164.7975628,2.518329046,4.079933305,0.757704408,1
Germany,DEU,2011,30.0,30.7,31.2,161.9667643,2.594160673,3.660000155,1.070476908,1
Germany,DEU,2012,..,30.0,30.7,156.9249454,1.847194475,0.491992829,1.540294079,1
Germany,DEU,2013,31.4,..,30.0,136.8863225,1.796331306,0.489584482,1.965390517,1
Germany,DEU,2014,..,31.4,..,139.7539617,0.429785534,1.92969041,1.794387609,1
Germany,DEU,2015,..,..,31.4,134.3431078,1.55755243,1.743205394,2.01304621,1
Italy,ITA,2006,34.0,33.8,34.3,108.6178813,2.932354168,2.006586655,1.898849869,0
Italy,ITA,2007,32.9,34.0,33.8,124.8199187,2.995266538,1.473868547,2.434610726,0
Italy,ITA,2008,33.6,32.9,34.0,137.6132647,-0.397381532,-1.050402835,2.480577356,0
Italy,ITA,2009,33.5,33.6,32.9,146.2889405,0.758499235,-5.48205504,1.957826338,1
Italy,ITA,2010,34.3,33.5,33.6,160.4578207,0.467633055,1.686523403,0.319446203,1
Italy,ITA,2011,34.5,34.3,33.5,164.1204818,1.513143765,0.576623022,1.468390873,1
Italy,ITA,2012,34.9,34.5,34.3,177.3916251,0.001679455,-2.819013779,1.38015264,1
Italy,ITA,2013,34.9,34.9,34.5,172.7144805,0.916716928,-1.728160802,1.211939756,1
Italy,ITA,2014,34.7,34.9,34.9,172.1090262,0.79136233,0.113673238,0.958906794,1
Italy,ITA,2015,..,34.7,34.9,169.7233155,0.725794874,0.997677267,0.863530607,1
Netherlands,NLD,2006,30.0,29.0,29.8,165.7405233,51.62545892,3.518636961,2.550428742,0
Netherlands,NLD,2007,29.6,30.0,29.0,184.2075398,87.44259299,3.698473106,2.105441908,0
Netherlands,NLD,2008,29.3,29.6,30.0,182.2923104,20.84878253,1.699060778,2.479236822,0
Netherlands,NLD,2009,27.9,29.3,29.6,207.2319202,11.18168466,-3.767583537,0.399621508,1
Netherlands,NLD,2010,27.9,27.9,29.3,218.2675864,13.836826,1.402662177,0.847969184,1
Netherlands,NLD,2011,27.8,27.9,27.9,223.9798618,37.12847622,1.663626344,0.141896333,1
Netherlands,NLD,2012,27.6,27.8,27.9,234.1734815,28.92283586,-1.057037404,1.419671674,1
Netherlands,NLD,2013,28.1,27.6,27.8,209.3489371,37.9244573,-0.1903392,1.368458976,1
Netherlands,NLD,2014,28.6,28.1,27.6,218.3480441,13.3674634,1.419690296,0.149996599,1
Netherlands,NLD,2015,30.3,28.6,28.1,206.3875269,19.42724728,2.260757029,0.805313303,1
Spain,ESP,2006,32.5,32.4,33.3,178.9600724,2.608815937,4.174123186,3.978200117,0
Spain,ESP,2007,33.1,32.5,32.4,199.8175437,4.986868503,3.768992408,3.331139602,0
Spain,ESP,2008,34.2,33.1,32.5,223.1541132,4.865873989,1.11768686,2.135441392,0
Spain,ESP,2009,34.9,34.2,33.1,233.8338653,0.899122315,-3.573751449,0.252533821,1
Spain,ESP,2010,35.3,34.9,34.2,240.9906239,2.865295766,0.014063878,0.16041859,1
Spain,ESP,2011,35.7,35.3,34.9,248.9311495,2.135799937,-0.998764958,0.028968199,1
Spain,ESP,2012,35.4,35.7,35.3,245.5703178,1.864880658,-2.927750507,0.067950146,1
Spain,ESP,2013,36.2,35.4,35.7,223.6041389,3.839448478,-1.705705,0.353610345,1
Spain,ESP,2014,36.0,36.2,35.4,211.2478079,2.533915532,1.379997238,-0.19498388,1
Spain,ESP,2015,34.5,36.0,36.2,193.8380441,2.862051274,3.432253328,0.610875762,1
Austria,AUT,2006,29.6,28.7,29.8,125.6602973,3.124253652,3.350831347,1.993914868,0
Austria,AUT,2007,30.6,29.6,28.7,122.6986023,17.72237605,3.621510433,2.325649543,0
Austria,AUT,2008,30.4,30.6,29.6,126.3002409,1.466623559,1.547263822,1.86913232,0
Austria,AUT,2009,31.5,30.4,30.6,135.0921988,3.571764839,-3.799075045,1.925800837,1
Austria,AUT,2010,30.3,31.5,30.4,135.0586475,-5.615209099,1.928673055,0.78242402,1
Austria,AUT,2011,30.8,30.3,31.5,132.0874375,5.328997441,2.807999949,1.947119334,1
Austria,AUT,2012,31.1,30.8,30.3,135.2536916,1.274867727,0.745756081,1.988076932,1
Austria,AUT,2013,30.9,31.1,30.8,130.425655,0.104941938,0.124223536,1.523690631,1
Austria,AUT,2014,30.5,30.9,31.1,125.4337698,0.387515471,0.644844843,2.166786877,1
Austria,AUT,2015,27.6,30.5,30.9,123.4364095,-2.244974475,0.963058386,2.445343752,1
Belgium,BEL,2006,28.0,29.3,30.5,106.0003594,14.35475886,2.506140115,2.309882953,0
Belgium,BEL,2007,29.2,28.0,29.3,108.7865975,20.4713015,3.448973792,2.007498028,0
Belgium,BEL,2008,28.4,29.2,28.0,110.6014445,36.73991526,0.783173038,1.915219077,0
Belgium,BEL,2009,28.5,28.4,29.2,116.0535935,17.85728562,-2.253174635,0.778103162,1
Belgium,BEL,2010,28.4,28.5,28.4,113.6791103,23.05670402,2.744213272,1.883091286,1
Belgium,BEL,2011,28.1,28.4,28.5,114.0007433,29.98596411,1.798302659,2.001847292,1
Belgium,BEL,2012,27.5,28.1,28.4,113.2345514,1.342343942,0.234796924,1.97466857,1
Belgium,BEL,2013,27.7,27.5,28.1,112.0628088,-5.447076521,0.200650444,1.046204858,1
Belgium,BEL,2014,28.1,27.7,27.5,154.4604612,-4.50615673,1.351434237,0.665469322,1
Belgium,BEL,2015,26.8,28.1,27.7,147.9802415,-6.396693479,1.404494878,1.114771797,1
Cyprus,CYP,2006,31.1,30.3,30.1,201.9085331,9.176726278,4.51018332,3.475773291,0
Cyprus,CYP,2007,31.1,31.1,30.3,219.2712182,9.533621619,4.820710541,3.186148947,0
Cyprus,CYP,2008,31.7,31.1,31.1,257.2450805,8.397982397,3.863966058,4.024417879,0
Cyprus,CYP,2009,32.1,31.7,31.1,276.8736445,10.91093545,-1.772450751,0.023418285,1
Cyprus,CYP,2010,31.5,32.1,31.7,286.4789243,53.19095304,1.317777804,2.008104077,1
Cyprus,CYP,2011,32.6,31.5,32.1,298.7517168,-43.46255422,0.321196,1.908999735,1
Cyprus,CYP,2012,34.3,32.6,31.5,316.6133907,198.0744779,-3.058274021,1.892708973,1
Cyprus,CYP,2013,37.0,34.3,32.6,306.1051239,-25.01670493,-5.933958448,-1.051040805,1
Cyprus,CYP,2014,35.6,37.0,34.3,306.0451326,-3.229354878,-1.403767772,-1.565201067,1
Cyprus,CYP,2015,..,35.6,37.0,308.4657874,41.20065736,1.97906359,-1.182622429,1
Estonia,EST,2006,33.7,33.5,33.6,80.60957991,13.04073383,10.27188409,8.877905052,0
Estonia,EST,2007,31.2,33.7,33.5,89.91673496,15.42039675,7.748192368,11.51045906,0
Estonia,EST,2008,31.9,31.2,33.7,95.16705502,7.742610752,-5.41945589,7.49280755,0
Estonia,EST,2009,31.4,31.9,31.2,103.5214236,9.492747024,-14.72440391,0.430687766,1
Estonia,EST,2010,32.0,31.4,31.9,96.4765268,13.3026104,2.259075894,1.735884047,1
Estonia,EST,2011,32.5,32.0,31.4,82.47721401,4.827558145,7.597300209,5.260896424,1
Estonia,EST,2012,32.9,32.5,32.0,75.31687269,7.759292018,4.307258988,3.159752112,1
Estonia,EST,2013,35.1,32.9,32.5,71.09023126,4.370606686,1.936543444,3.555743231,1
Estonia,EST,2014,34.6,35.1,32.9,71.12609419,6.677263791,2.890710968,1.472050415,1
Estonia,EST,2015,33.0,34.6,35.1,76.9423609,-3.20182758,1.674286623,1.246192558,1
Finland,FIN,2006,28.0,27.6,27.9,93.25605107,2.138794724,4.055197444,0.912454382,0
Finland,FIN,2007,28.3,28.0,27.6,98.81018737,8.608610241,5.184800809,2.765039571,0
Finland,FIN,2008,27.8,28.3,28.0,130.0943158,6.838304827,0.720668487,3.076884682,0
Finland,FIN,2009,27.5,27.8,28.3,135.9279452,-3.509562186,-8.269036558,1.877414436,1
Finland,FIN,2010,27.7,27.5,27.8,152.2490647,4.933997863,2.992337502,0.350772528,1
Finland,FIN,2011,27.6,27.7,27.5,189.4300271,-2.195369292,2.570817745,2.584023761,1
Finland,FIN,2012,27.1,27.6,27.7,165.4192089,1.921589008,-1.42618936,2.953564395,1
Finland,FIN,2013,27.2,27.1,27.6,142.0590347,-1.830026322,-0.758036295,2.551715664,1
Finland,FIN,2014,26.8,27.2,27.1,164.4066889,6.32538914,-0.631728091,1.692890248,1
Finland,FIN,2015,26.0,26.8,27.2,156.9211904,7.287262362,-0.008576651,2.007541866,1
Greece,GRC,2006,35.1,34.6,33.6,107.5233241,1.979103017,5.65243372,3.495042612,0
Greece,GRC,2007,34.0,35.1,34.6,112.0919902,0.614657039,3.273746857,3.422666805,0
Greece,GRC,2008,33.6,34.0,35.1,115.4806189,1.617501485,-0.335172557,4.344583232,0
Greece,GRC,2009,33.6,33.6,34.0,115.6595646,0.83714687,-4.300733667,2.569771121,1
Greece,GRC,2010,34.1,33.6,33.6,147.5591136,0.178275809,-5.479037108,0.673371803,1
Greece,GRC,2011,34.8,34.1,33.6,156.0096385,0.379464972,-9.132494153,0.798356141,1
Greece,GRC,2012,36.3,34.8,34.1,139.1190185,0.677055668,-7.300493935,-0.370392027,1
Greece,GRC,2013,36.1,36.3,34.8,137.0512811,1.227963495,-3.241425025,-2.352299994,1
Greece,GRC,2014,35.8,36.1,36.3,137.7834159,1.137746769,0.739777123,-1.832091216,1
Greece,GRC,2015,34.0,35.8,36.1,135.2261985,0.648613958,-0.290902297,-1.024371478,1
Ireland,IRL,2006,32.7,33.8,33.6,172.5924193,9.514137225,5.521652908,3.012375446,0
Ireland,IRL,2007,32.0,32.7,33.8,234.0952987,22.20717388,5.208771813,1.320636545,0
Ireland,IRL,2008,30.9,32.0,32.7,230.646486,8.45704388,-3.935932427,-0.888854151,0
Ireland,IRL,2009,32.7,30.9,32.0,233.6027269,22.82381564,-4.626788071,-5.010460078,1
Ireland,IRL,2010,32.3,32.7,30.9,236.1321919,17.0143763,1.801657148,-3.221395131,1
Ireland,IRL,2011,32.3,32.3,32.7,227.475121,9.900871468,2.984992365,-0.374512191,1
Ireland,IRL,2012,32.5,32.3,32.3,204.7406464,18.15902156,0.037153042,2.068573218,1
Ireland,IRL,2013,33.4,32.5,32.3,191.9397153,20.8698246,1.63882058,1.042383764,1
Ireland,IRL,2014,31.9,33.4,32.5,160.9132151,33.61718159,8.32838729,-0.397848768,1
Ireland,IRL,2015,..,31.9,33.4,107.1278258,70.01082583,25.55728504,7.280018411,1
Latvia,LVA,2006,35.5,39.0,36.4,..,7.949722828,11.88938537,12.40970913,0
Latvia,LVA,2007,37.5,35.5,39.0,..,8.781932565,9.97926933,20.116005,0
Latvia,LVA,2008,37.2,37.5,35.5,..,4.024856371,-3.547644225,11.75146447,0
Latvia,LVA,2009,36.0,37.2,37.5,..,-0.123773797,-14.40169178,-9.679660604,1
Latvia,LVA,2010,35.0,36.0,37.2,90.96949634,1.83308293,-3.940670306,-0.811835684,1
Latvia,LVA,2011,35.8,35.0,36.0,79.21582685,5.316447899,6.381021259,6.394654453,1
Latvia,LVA,2012,35.2,35.8,35.0,63.89585706,3.8359266,4.034628375,3.615730465,1
Latvia,LVA,2013,35.5,35.2,35.8,60.14048723,3.264139968,2.579686929,1.698638836,1
Latvia,LVA,2014,35.1,35.5,35.2,53.76343859,2.991267086,1.912550046,1.77630952,1
Latvia,LVA,2015,34.6,35.1,35.5,58.03364136,3.104967012,2.836688852,-0.000722966,1
Lithuania,LTU,2006,34.4,35.3,37.0,..,6.840974109,7.406444355,6.743987637,0
Lithuania,LTU,2007,34.6,34.4,35.3,..,5.771451089,11.08695439,8.567987545,0
Lithuania,LTU,2008,35.7,34.6,34.4,..,3.986456618,2.628077961,9.704806953,0
Lithuania,LTU,2009,37.2,35.7,34.6,..,0.048024373,-14.81416332,-3.295134066,1
Lithuania,LTU,2010,33.6,37.2,35.7,63.76914919,2.33111629,1.639819649,2.378523369,1
Lithuania,LTU,2011,32.5,33.6,37.2,56.96504337,3.53748598,6.049353497,5.222087535,1
Lithuania,LTU,2012,35.1,32.5,33.6,51.94875761,1.343452523,3.834901869,2.689935491,1
Lithuania,LTU,2013,35.3,35.1,32.5,50.88272936,1.524066687,3.506825683,1.403167483,1
Lithuania,LTU,2014,37.7,35.3,35.1,45.28280427,1.03918018,3.495016165,1.006663771,1
Lithuania,LTU,2015,37.2,37.7,35.3,47.29911993,2.342923869,1.778576184,0.240794882,1
Luxembourg,LUX,2006,31.0,30.8,30.2,152.0951348,75.96383407,5.178485966,7.035516419,0
Luxembourg,LUX,2007,31.1,31.0,30.8,184.4380912,-58.32288048,8.354553209,1.490136296,0
Luxembourg,LUX,2008,32.6,31.1,31.0,189.8549542,12.74333532,-1.279585572,3.883715788,0
Luxembourg,LUX,2009,31.2,32.6,31.1,191.95967,53.05599775,-4.358607005,1.398017695,1
Luxembourg,LUX,2010,30.5,31.2,32.6,221.1170683,73.53262074,4.86496856,3.616722473,1
Luxembourg,LUX,2011,32.0,30.5,31.2,209.8430276,14.73745723,2.539234839,4.773590945,1
Luxembourg,LUX,2012,34.3,32.0,30.5,204.6694903,252.3081073,-0.35251936,2.556496803,1
Luxembourg,LUX,2013,32.0,34.3,32.0,188.2318886,16.97650882,3.654370385,1.695922765,1
Luxembourg,LUX,2014,31.2,32.0,34.3,192.6031262,-15.88223131,5.771915882,1.645842437,1
Luxembourg,LUX,2015,..,31.2,32.0,191.2770642,27.68996365,2.861674636,1.31907195,1
Portugal,PRT,2006,38.1,38.5,38.9,152.9900547,6.328223238,1.553053256,3.185394855,0
Portugal,PRT,2007,36.8,38.1,38.5,162.9633102,2.509138013,2.492001318,2.979067503,0
Portugal,PRT,2008,36.6,36.8,38.1,175.7418585,2.985171797,0.199272801,1.737715365,0
Portugal,PRT,2009,34.9,36.6,36.8,192.272146,2.288819188,-2.978104267,1.096322999,1
Portugal,PRT,2010,35.8,34.9,36.6,205.940303,3.54832691,1.898691176,0.64347606,1
Portugal,PRT,2011,36.3,35.8,34.9,204.7862904,4.00893304,-1.826852351,-0.26957346,1
Portugal,PRT,2012,36.0,36.3,35.8,201.2482704,10.15704951,-4.028256748,-0.397566921,1
Portugal,PRT,2013,36.2,36.0,36.3,188.5542192,4.779368877,-1.130154643,2.267046901,1
Portugal,PRT,2014,35.6,36.2,36.0,173.7344822,5.710516805,0.893185924,0.750279541,1
Portugal,PRT,2015,33.6,35.6,36.2,166.6406567,1.207992699,1.822067428,2.029356345,1
Slovak Republic,SVK,2006,25.8,29.3,27.1,50.38673048,8.068986332,8.452887748,2.919035181,0
Slovak Republic,SVK,2007,24.7,25.8,29.3,51.28683433,5.862432149,10.79957705,1.129145221,0
Slovak Republic,SVK,2008,26.0,24.7,25.8,54.13413842,4.62687859,5.629779025,2.834598454,0
Slovak Republic,SVK,2009,27.2,26.0,24.7,65.30098584,1.707853803,-5.422542313,-1.164869253,1
Slovak Republic,SVK,2010,27.3,27.2,26.0,64.57971501,2.365847361,5.041716665,0.485295447,1
Slovak Republic,SVK,2011,26.5,27.3,27.2,65.86157558,5.527148518,2.819099518,1.647678658,1
Slovak Republic,SVK,2012,26.1,26.5,27.3,62.96193693,1.90202119,1.657148687,1.261755496,1
Slovak Republic,SVK,2013,28.1,26.1,26.5,62.01814583,1.019320811,1.490646438,0.518528057,1
Slovak Republic,SVK,2014,26.1,28.1,26.1,65.19578326,-0.359042208,2.750335017,-0.160089648,1
Slovak Republic,SVK,2015,25.1,26.1,28.1,73.68083755,1.736896452,3.850100604,-0.152881088,1
Slovenia,SVN,2006,24.4,24.6,24.8,72.00863731,1.746976636,5.655999211,2.18824648,0
Slovenia,SVN,2007,24.4,24.4,24.6,80.75754598,3.917583057,6.941645669,4.16865333,0
Slovenia,SVN,2008,23.7,24.4,24.4,86.33716097,1.944743913,3.300130299,4.51224703,0
Slovenia,SVN,2009,24.8,23.7,24.4,91.88888413,-0.68916437,-7.797276576,3.355540741,1
Slovenia,SVN,2010,24.9,24.8,23.7,95.98026575,0.664509447,1.237755909,-0.987114141,1
Slovenia,SVN,2011,24.9,24.9,24.8,92.3773369,1.707021412,0.649366928,1.119435872,1
Slovenia,SVN,2012,25.6,24.9,24.9,92.58259469,0.072375532,-2.669582052,0.458813835,1
Slovenia,SVN,2013,26.2,25.6,24.9,82.91385963,0.216095859,-1.132054981,1.602324383,1
Slovenia,SVN,2014,25.7,26.2,25.6,68.10637463,2.042466544,2.979196038,0.793274625,1
Slovenia,SVN,2015,25.0,25.7,26.2,70.86068155,4.015186157,2.258902398,0.96729871,1
